target,stage,candidate,pooled_oof_f1,delta,median_repeated_delta,nondecreasing_fraction,fold_variance,seed_variance,advance,advance_reason
irony,cheap_screen,visobert_1,97.21078126016903,-0.3099131933145429,,,,,,
irony,cheap_screen,visobert_2,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1,97.19647129186603,-0.32422316161753884,,,,,,
irony,cheap_screen,phobert_2,96.64224664224665,-0.8784478112369243,,,,,,
irony,cheap_screen,phobert_3,96.86888454011742,-0.6518099133661508,,,,,,
irony,cheap_screen,visobert_1+visobert_2,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,visobert_1+visobert_3,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+visobert_1,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_2+visobert_1,97.06331266060009,-0.45738179288348135,,,,,,
irony,cheap_screen,phobert_3+visobert_1,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,visobert_2+visobert_3,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+visobert_2,96.91658752574651,-0.6041069277370639,,,,,,
irony,cheap_screen,phobert_2+visobert_2,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_3+visobert_2,96.91658752574651,-0.6041069277370639,,,,,,
irony,cheap_screen,phobert_1+visobert_3,97.52069445348357,0.0,,,,,,
irony,cheap_screen,phobert_2+visobert_3,97.52069445348357,0.0,,,,,,
irony,cheap_screen,phobert_3+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1+phobert_2,97.35899971337379,-0.16169474010978035,,,,,,
irony,cheap_screen,phobert_1+phobert_3,96.90086806685447,-0.6198263866291001,,,,,,
irony,cheap_screen,phobert_2+phobert_3,96.77059953819574,-0.750094915287832,,,,,,
irony,cheap_screen,visobert_1+visobert_2+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1+visobert_1+visobert_2,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_2+visobert_1+visobert_2,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_3+visobert_1+visobert_2,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+visobert_1+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_2+visobert_1+visobert_3,97.52069445348357,0.0,,,,,,
irony,cheap_screen,phobert_3+visobert_1+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1+phobert_2+visobert_1,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+phobert_3+visobert_1,97.078161486939,-0.44253296654457586,,,,,,
irony,cheap_screen,phobert_2+phobert_3+visobert_1,97.078161486939,-0.44253296654457586,,,,,,
irony,cheap_screen,phobert_1+visobert_2+visobert_3,97.52069445348357,0.0,,,,,,
irony,cheap_screen,phobert_2+visobert_2+visobert_3,97.52069445348357,0.0,,,,,,
irony,cheap_screen,phobert_3+visobert_2+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1+phobert_2+visobert_2,97.06331266060009,-0.45738179288348135,,,,,,
irony,cheap_screen,phobert_1+phobert_3+visobert_2,96.91658752574651,-0.6041069277370639,,,,,,
irony,cheap_screen,phobert_2+phobert_3+visobert_2,96.91658752574651,-0.6041069277370639,,,,,,
irony,cheap_screen,phobert_1+phobert_2+visobert_3,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+phobert_3+visobert_3,97.078161486939,-0.44253296654457586,,,,,,
irony,cheap_screen,phobert_2+phobert_3+visobert_3,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+phobert_2+phobert_3,97.19647129186603,-0.32422316161753884,,,,,,
irony,cheap_screen,phobert_1+phobert_2+phobert_3+visobert_2+visobert_3,97.06331266060009,-0.45738179288348135,,,,,,
irony,cheap_screen,phobert_1+phobert_2+phobert_3+visobert_1+visobert_3,97.078161486939,-0.44253296654457586,,,,,,
irony,cheap_screen,phobert_1+phobert_2+phobert_3+visobert_1+visobert_2,96.91658752574651,-0.6041069277370639,,,,,,
irony,cheap_screen,phobert_2+phobert_3+visobert_1+visobert_2+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,phobert_1+phobert_3+visobert_1+visobert_2+visobert_3,97.22492877317184,-0.29576568031173167,,,,,,
irony,cheap_screen,phobert_1+phobert_2+visobert_1+visobert_2+visobert_3,97.37243764369481,-0.1482568097887622,,,,,,
irony,cheap_screen,paired_source_preserving_rescue,97.52069445348357,0.0,,,,,,
idiom_figurative,cheap_screen,visobert_1,96.26196172248804,-0.7402258916556406,,,,,,
idiom_figurative,cheap_screen,visobert_2,96.85261421863001,-0.14957339551367,,,,,,
idiom_figurative,cheap_screen,visobert_3,96.55577299412916,-0.44641462001452226,,,,,,
idiom_figurative,cheap_screen,phobert_1,96.83615390212958,-0.166033712014098,,,,,,
idiom_figurative,cheap_screen,phobert_2,96.6866284156325,-0.3155591985111812,,,,,,
idiom_figurative,cheap_screen,phobert_3,97.00218761414368,0.0,,,,,,
idiom_figurative,cheap_screen,visobert_1+visobert_2,96.26196172248804,-0.7402258916556406,,,,,,
idiom_figurative,cheap_screen,visobert_1+visobert_3,96.70381157103404,-0.2983760431096414,,,,,,
